#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn         lr
# If there is no available reference data, rmse_*_{val,trn} will print nan
   5900      2.77e-01    5.87e-02      6.05e-03    4.09e-03      4.84e-02    9.62e-03    3.2e-03
   6000      2.73e-01    1.70e-01      6.22e-03    6.55e-03      4.77e-02    2.93e-02    3.2e-03
   6100      3.34e-01    1.73e-01      1.84e-02    1.61e-02      5.63e-02    2.65e-02    3.2e-03
   6200      2.97e-01    2.59e-01      1.88e-02    4.30e-02      4.93e-02    2.31e-02    3.2e-03
   6300      2.80e-01    1.78e-01      4.92e-03    3.12e-03      4.90e-02    3.11e-02    3.2e-03
   6400      2.78e-01    9.16e-02      6.13e-03    5.90e-03      4.86e-02    1.52e-02    3.2e-03
   6500      3.10e-01    1.45e-01      2.21e-02    7.25e-03      5.06e-02    2.46e-02    3.2e-03
   6600      2.49e-01    2.21e-01      8.05e-03    6.73e-03      4.32e-02    3.84e-02    3.2e-03
   6700      2.96e-01    1.13e-01      1.14e-02    1.21e-02      5.11e-02    1.66e-02    3.2e-03
   6800      2.89e-01    7.64e-02      1.49e-02    2.04e-03      4.90e-02    1.33e-02    3.2e-03
   6900      2.65e-01    1.14e-01      2.84e-03    1.17e-02      4.66e-02    1.69e-02    3.2e-03
   7000      2.62e-01    1.38e-01      3.31e-03    3.48e-03      4.60e-02    2.42e-02    3.2e-03
   7100      2.76e-01    6.09e-02      9.76e-03    7.57e-03      4.77e-02    8.19e-03    3.2e-03
   7200      2.82e-01    1.20e-01      5.22e-03    9.32e-03      4.93e-02    1.93e-02    3.2e-03
   7300      2.98e-01    9.54e-02      2.02e-02    5.06e-03      4.90e-02    1.61e-02    3.2e-03
   7400      2.71e-01    1.15e-01      9.80e-03    1.41e-02      4.68e-02    1.55e-02    3.2e-03
   7500      2.91e-01    9.52e-02      1.36e-02    4.02e-03      4.96e-02    1.63e-02    3.2e-03
   7600      2.83e-01    1.40e-01      7.78e-03    3.07e-03      4.94e-02    2.44e-02    3.2e-03
   7700      2.70e-01    1.90e-01      6.10e-03    2.51e-02      4.71e-02    2.43e-02    3.2e-03
   7800      2.56e-01    1.53e-01      5.54e-03    1.44e-02      4.47e-02    2.36e-02    3.2e-03
   7900      2.62e-01    1.34e-01      1.65e-02    1.03e-02      4.36e-02    2.16e-02    3.2e-03
   8000      2.41e-01    1.27e-01      7.18e-03    1.92e-02      4.18e-02    1.38e-02    3.2e-03
   8100      2.58e-01    8.93e-02      2.68e-03    8.11e-03      4.53e-02    1.38e-02    3.2e-03
   8200      2.70e-01    8.37e-02      1.06e-02    4.83e-03      4.65e-02    1.41e-02    3.2e-03
   8300      2.95e-01    1.36e-01      6.80e-03    4.29e-03      5.14e-02    2.36e-02    3.2e-03
   8400      2.95e-01    7.33e-02      5.04e-04    8.52e-04      5.19e-02    1.29e-02    3.2e-03
   8500      2.74e-01    1.20e-01      2.10e-02    7.90e-03      4.42e-02    1.99e-02    3.2e-03
   8600      2.61e-01    1.31e-01      9.97e-03    7.14e-03      4.50e-02    2.21e-02    3.2e-03
   8700      5.41e-01    3.83e-01      8.26e-02    6.80e-02      5.81e-02    2.62e-02    3.2e-03
   8800      4.15e-01    2.00e-01      1.85e-02    1.98e-02      7.10e-02    3.01e-02    3.2e-03
   8900      3.00e-01    1.84e-01      9.96e-03    1.44e-02      5.20e-02    2.95e-02    3.2e-03
   9000      2.69e-01    8.92e-02      1.09e-03    9.30e-04      4.74e-02    1.57e-02    3.2e-03
   9100      2.67e-01    1.04e-01      6.22e-03    1.04e-02      4.66e-02    1.57e-02    3.2e-03
   9200      2.51e-01    8.82e-02      1.12e-02    4.35e-03      4.30e-02    1.50e-02    3.2e-03
   9300      2.55e-01    1.36e-01      4.23e-03    1.95e-03      4.47e-02    2.39e-02    3.2e-03
   9400      2.55e-01    2.49e-01      7.33e-03    7.04e-03      4.44e-02    4.33e-02    3.2e-03
   9500      2.72e-01    9.02e-02      1.79e-02    1.08e-03      4.49e-02    1.58e-02    3.2e-03
   9600      2.88e-01    1.85e-01      2.49e-02    2.78e-02      4.53e-02    2.04e-02    3.2e-03
   9700      2.29e-01    1.43e-01      1.04e-02    3.41e-03      3.91e-02    2.50e-02    3.2e-03
   9800      2.31e-01    8.64e-02      7.59e-03    1.09e-02      4.00e-02    1.15e-02    3.2e-03
   9900      2.59e-01    5.53e-02      4.36e-03    2.20e-03      4.53e-02    9.52e-03    3.2e-03
  10000      1.82e-01    1.06e-01      8.51e-03    1.31e-03      5.34e-02    3.19e-02    1.0e-03
